            ,t,d,s,z,S,θ,ʃ,ʒ,p,v,f,k,m,n,l,w,i,ɪ,ʊ,e,o,ə,ɛ,ʌ,æ,a,ɑ,ɒ
Consonantal, +,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-
Sonorant,    -,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Syllabic,    -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+
Labial,      -,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+
Round,       0,0,0,0,0,0,0,0,-,-,-,0,-,0,0,+,-,-,+,-,+,-,-,-,-,-,-,+
Coronal,     +,+,+,+,+,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-
Anterior,    +,+,+,+,+,+,-,-,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0
Distributed, -,-,-,-,-,-,+,+,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorsal,      -,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+
High,        0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,+,+,+,-,-,-,-,-,-,-,-,-
Low,         0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,+,+,+,+
Back,        0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,-,-,+,-,+,-,-,+,-,-,+,+
Tense,       0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,+,-,-,+,+,-,-,-,+,-,-,-
Pharyngeal,  -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+
ATR,         0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,-,+,+,0,-,-,-,-,-,-
Voice,       -,+,-,+,0,-,-,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Continuant,  -,-,+,+,+,+,+,+,-,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Strident,    -,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lateral,     -,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-
Nasal,       -,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
